iter	Passed	Remaining
600	2758	1831
601	2762	1826
602	2766	1821
603	2771	1816
604	2776	1812
605	2780	1807
606	2784	1802
607	2789	1798
608	2793	1793
609	2797	1788
610	2803	1784
611	2807	1780
612	2812	1775
613	2816	1770
614	2822	1766
615	2827	1762
616	2833	1758
617	2839	1754
618	2844	1750
619	2847	1745
620	2854	1742
621	2858	1737
622	2862	1732
623	2866	1727
624	2870	1722
625	2874	1717
626	2879	1713
627	2883	1708
628	2887	1703
629	2890	1697
630	2896	1694
631	2901	1689
632	2907	1685
633	2911	1680
634	2917	1676
635	2921	1672
636	2928	1668
637	2932	1664
638	2937	1659
639	2941	1654
640	2945	1649
641	2950	1645
642	2954	1640
643	2960	1636
644	2963	1631
645	2968	1626
646	2973	1622
647	2977	1617
648	2981	1612
649	2984	1607
650	2989	1602
651	2993	1597
652	2997	1592
653	3001	1588
654	3005	1583
655	3010	1578
656	3014	1573
657	3019	658	3658	3022	659	3659	3026	660	3021	1549
661	3026	1545
662	3031	1540
663	3036	1536
664	3041	1532
665	3665	3054	666	3666	3059	667	3667	3064	668	3060	1514
669	3669	3073	670	3670	3078	671	3671	3083	672	3672	3087	673	3673	3091	674	3674	3095	675	3675	3099	676	3676	3103	677	3677	3109	678	3678	3113	679	3679	3118	680	3680	3123	681	3681	3127	682	3682	3130	683	3127	1445
684	3135	1441
685	3139	1437
686	3144	1432
687	3149	1428
688	3153	1423
689	3157	1418
690	3161	1413
691	3165	1409
692	3171	1404
693	3175	1399
694	3178	1394
695	3182	1390
696	3186	1385
697	3191	1380
698	3196	1376
699	3199	1371
700	3203	1366
701	3208	1361
702	3212	1357
703	3217	1352
704	3222	1348
705	3226	1343
706	3231	1339
707	3235	1334
708	3240	1329
709	3244	1325
710	3249	1320
711	3254	1316
712	3258	1311
713	3261	1306
714	3266	1301
715	3270	1297
716	3274	1292
717	3717	3287	718	3718	3292	719	3719	3295	720	3292	1273
721	3295	1269
722	3300	1264
723	3304	1259
724	3308	1255
725	3313	1250
726	3319	1246
727	3324	1241
728	3328	1237
729	3333	1232
730	3339	1228
731	3343	1224
732	3348	1219
733	3353	1215
734	3357	1210
735	3362	1206
736	3367	1201
737	3371	1197
738	3376	1192
739	3380	1187
740	3384	1183
741	3389	1178
742	3394	1173
743	3398	1169
744	3406	1166
745	3410	1161
746	3415	1156
747	3419	1152
748	3424	1147
749	3428	1142
750	3432	1138
751	3437	1133
752	3442	1129
753	3446	1124
754	3451	1120
755	3455	1115
756	3461	1111
757	3466	1106
758	3470	1102
759	3474	1097
760	3479	1092
761	3483	1088
762	3488	1083
763	3492	1078
764	3497	1074
765	3501	1069
766	3505	1065
767	3510	1060
768	3514	1055
769	3519	1051
770	3523	1046
771	3528	1041
772	3532	1037
773	3536	1032
774	3540	1027
775	3544	1023
776	3548	1018
777	3551	1013
778	3555	1008
779	3562	1004
780	3566	1000
781	3570	995
782	3574	990
783	3578	985
784	3582	981
785	3587	976
786	3593	972
787	3596	967
788	3599	962
789	3603	958
790	3608	953
791	3613	948
792	3623	945
793	3627	941
794	3631	936
795	3636	932
796	3641	927
797	3646	923
798	3651	918
799	3656	914
800	3660	909
801	3664	904
802	3669	900
803	3673	895
804	3678	891
805	3683	886
806	3687	881
807	3691	877
808	3696	872
809	3700	868
810	3704	863
811	3709	858
812	3714	854
813	3718	849
814	3723	845
815	3728	840
816	3731	835
817	3735	831
818	3740	826
819	3745	822
820	3750	817
821	3755	813
822	3758	808
823	3762	803
824	823	3782	825	3772	794
826	3781	790
827	3785	786
828	3789	781
829	3794	777
830	3799	772
831	3805	768
832	3809	763
833	3814	759
834	3818	754
835	3822	749
836	3826	745
837	3831	740
838	3835	735
839	3839	731
840	3843	726
